1# #
1#107 #107
1#23 #23
1#4316 #4316
1#4317 #4317
1#5 #5
1#@$% #@$%
1$10 $10
1$100+ $100+
1$12 $12
1$135 $135
1$140 $140
1$141 $141
1$144 $144
1$150 $150
1$175 $175
1$22 $22
1$230 $230
1$29 $29
1$30-plus $30-plus
1$36 $36
1$376 $376
1$400 $400
1$457 $457
1$5000 $5000
1$530 $530
1$7000 $7000
1$8 $8
1$80 $80
1$90 $90
1$900 $900
1$96 $96
1&=20 &=20
1'00s '00s
1'37 '37
1'38 '38
1'40s-type '40s-type
1'45 '45
1'58--are '58--are
1'67 '67
1'70ish '70ish
1'70s- '70s-
1'92 '92
1'93 '93
1'94 '94
1'97 '97
1'always 'always
1'amos 'amos
1'anywhere 'anywhere
1'arrrghh' 'arrrghh'
1'as 'as
1'b' 'b'
1'baby 'baby
1'bad 'bad
1'banking' 'banking'
1'beautiful 'beautiful
1'beverly 'beverly
1'birth 'birth
1'bring 'bring
1'bud' 'bud'
1'buddy 'buddy
1'c 'c
1'chic' 'chic'
1'cinema 'cinema
1'cops 'cops
1'crash' 'crash'
1'crouch 'crouch
1'dancing 'dancing
1'dirty' 'dirty'
1'doing 'doing
1'don't 'don't
1'dust 'dust
1'easy 'easy
1'em-up 'em-up
1'eternal 'eternal
1'film 'film
1'flat 'flat
1'framed 'framed
1'gene 'gene
1'generation 'generation
1'gesundheit 'gesundheit
1'ghost 'ghost
1'girl 'girl
1'girly' 'girly'
1'go 'go
1'gone 'gone
1'greed' 'greed'
1'green 'green
1'gung 'gung
1'hannibal 'hannibal
1'hippie' 'hippie'
1'ho 'ho
1'homeboy' 'homeboy'
1'hos 'hos
1'i'm 'i'm
1'if 'if
1'important' 'important'
1'invisible 'invisible
1'it's 'it's
1'keep 'keep
1'kick 'kick
1'law 'law
1'leanings 'leanings
1'let's 'let's
1'look 'look
1'louisiana 'louisiana
1'macbeth 'macbeth
1'maury' 'maury'
1'mayday 'mayday
1'misery 'misery
1'mom 'mom
1'name' 'name'
1'nessun 'nessun
1'no' 'no'
1'nobody 'nobody
1'nows' 'nows'
1'o' 'o'
1'odious 'odious
1'oh 'oh
1'olivier 'olivier
1'pardner 'pardner
1'put 'put
1'r 'r
1'reasons 'reasons
1'red 'red
1'rock' 'rock'
1'round 'round
1'saturday 'saturday
1'seems 'seems
1'show 'show
1'snatchers 'snatchers
1'startling' 'startling'
1't 't
1'that' 'that'
1'tis 'tis
1'tonight 'tonight
1'triplets 'triplets
1'un 'un
1'unbreakable' 'unbreakable'
1'virtual 'virtual
1'waku' 'waku'
1'where 'where
1'who 'who
1'why' 'why'
1'wild 'wild
1'work 'work
1'yes' 'yes'
1+1 +1
1--- ---
1------------ ------------
1--=20 --=20
1--an --an
1--and --and
1--deserves --deserves
1--gives --gives
1--most --most
1--three --three
1--to --to
1--up --up
1--version --version
1-1962 -1962
1-6 -6
1-appealing -appealing
1-bashing -bashing
1-class -class
1-ed -ed
1-esque -esque
1-evil -evil
1-faith -faith
1-final -final
1-gag -gag
1-inspired -inspired
1-inspiring -inspiring
1-like -like
1-lite -lite
1-meets-john -meets-john
1-megademon -megademon
1-obsessed -obsessed
1-riddled -riddled
1-sort -sort
1-style -style
1-t -t
1-to-film -to-film
1-type -type
1-uple -uple
1-word -word
1// //
1/``prospero's /``prospero's
1/celine /celine
1/e /e
1/jean-paul /jean-paul
1/singles/jerry /singles/jerry
10'i 'i
10+ +
1000-pound 000-pound
1000-year-old 000-year-old
1002 02
1006 06
1007s 007s
100admittedly admittedly
100answers answers
100artist artist
100attractive attractive
100bob bob
100computer computer
100false false
100finale finale
100growing growing
100importance importance
100laughed laughed
100outside outside
100personalities personalities
100poignant poignant
100print print
100safe safe
100search search
100serve serve
100silent silent
100tony tony
100who's who's
1011enjoyable enjoyable
1012come come
1012why why
10130 130
101946 1946
101947 1947
101949 1949
101958 1958
101971 1971
101argue argue
